City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
139,Waddan,LY,2021-09-25 02:38:46,29.1614,16.139,70.66,70,0,6.71
140,Klyuchi,RU,2021-09-25 02:38:46,52.2667,79.1667,43.32,53,99,12.06
141,Lebu,CL,2021-09-25 02:38:47,-37.6167,-73.65,51.6,94,11,3.56
142,Upernavik,GL,2021-09-25 02:38:47,72.7868,-56.1549,20.75,80,35,6.02
143,Mayor Pablo Lagerenza,PY,2021-09-25 02:37:28,-19.9309,-60.7718,73.62,38,0,6.15
144,Vilhena,BR,2021-09-25 02:38:47,-12.7406,-60.1458,78.35,38,19,2.66
145,Pisco,PE,2021-09-25 02:34:55,-13.7,-76.2167,61.02,88,10,4.61
146,Sao Desiderio,BR,2021-09-25 02:38:48,-12.3633,-44.9733,74.84,62,61,2.33
147,Sur,OM,2021-09-25 02:38:48,22.5667,59.5289,84.76,65,100,3.4
148,El Alto,PE,2021-09-25 02:38:48,-4.2714,-81.2147,63.7,83,3,14.2
149,New Port Richey,US,2021-09-25 02:38:49,28.2442,-82.7193,82.36,81,15,1.99
150,Petropavlovsk-Kamchatskiy,RU,2021-09-25 02:38:49,53.0452,158.6483,55.99,54,75,11.18
151,Bakersfield,US,2021-09-25 02:36:09,35.3733,-119.0187,83.7,38,1,1.01
152,Lavrentiya,RU,2021-09-25 02:38:49,65.5833,-171.0,32.54,90,100,22.77
153,Codrington,AU,2021-09-25 02:38:49,-38.2667,141.9667,52.21,54,86,12.97
154,Avola,IT,2021-09-25 02:38:50,36.9113,15.1395,72.82,84,0,3.24
155,Bengkulu,ID,2021-09-25 02:38:50,-3.8004,102.2655,82.9,72,94,3.67
156,Ilulissat,GL,2021-09-25 02:38:50,69.2167,-51.1,24.82,54,75,2.3
157,Hambantota,LK,2021-09-25 02:38:51,6.1241,81.1185,80.94,100,20,6.91
158,Karakol,KG,2021-09-25 02:38:51,42.4907,78.3936,58.77,18,0,3.24
159,Poum,NC,2021-09-25 02:38:51,-20.2333,164.0167,71.8,67,22,2.51
160,Bathsheba,BB,2021-09-25 02:38:52,13.2167,-59.5167,79.41,89,40,6.91
161,Parkes,AU,2021-09-25 02:38:52,-33.1333,148.1833,64.35,39,0,3.0
162,Coahuayana,MX,2021-09-25 02:38:52,18.7333,-103.6833,78.57,92,92,0.34
163,Aden,YE,2021-09-25 02:38:52,12.7794,45.0367,85.71,76,87,1.57
164,Mabaruma,GY,2021-09-25 02:38:53,8.2,-59.7833,76.87,90,5,3.44
165,Iguape,BR,2021-09-25 02:38:53,-24.7081,-47.5553,64.94,88,96,4.99
